Id,Url,ImageUrl,ContentCreatedOn,Name,Symbol,CoinName,FullName,Algorithm,ProofType,FullyPremined,TotalCoinSupply,BuiltOn,SmartContractAddress,DecimalPlaces,PreMinedValue,TotalCoinsFreeFloat,SortOrder,Sponsored,Taxonomy,Rating,IsTrading,TotalCoinsMined,BlockNumber,NetHashesPerSecond,BlockReward,BlockTime
4321,/coins/42/overview,/media/35650717/42.jpg,1427211129,42,42,42 Coin,42 Coin (42),Scrypt,PoW/PoS,0,42,N/A,N/A,0,N/A,N/A,34,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,41.9999522,202213.0,0,0.0,0.0
749869,/coins/300/overview,/media/27010595/300.png,1517935016,300,300,300 token,300 token (300),N/A,N/A,0,300,7605,0xaec98a708810414878c3bcdf46aad31ded4a4557,18,N/A,N/A,2212,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,300.0,0.0,0,0.0,0.0
33639,/coins/365/overview,/media/352070/365.png,1480032918,365,365,365Coin,365Coin (365),X11,PoW/PoS,0,2300000000,N/A,N/A,0,N/A,N/A,916,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,,,,,
21227,/coins/404/overview,/media/35650851/404-300x300.jpg,1466100361,404,404,404Coin,404Coin (404),Scrypt,PoW/PoS,0,532000000,N/A,N/A,0,N/A,N/A,602,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,1815367.61611786,61906.0,0,38.6282892175368,60.0
926547,/coins/433/overview,/media/34836095/433.png,1541597321,433,433,433 Token,433 Token (433),N/A,N/A,0,1000000000,7605,0x738505a5f31bf72e0b70298bca81150eb1b7c751,18,N/A,N/A,3505,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",False,112517690.374,10821438.0,231060807658772,2.0,0.0
20909,/coins/611/overview,/media/35650940/611-sixeleven.png,1465914773,611,611,SixEleven,SixEleven (611),SHA-256,PoW,0,611000,N/A,N/A,0,N/A,N/A,586,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,,,,,
28223,/coins/808/overview,/media/351513/808.png,1473980395,808,808,808,808 (808),SHA-256,PoW/PoS,0,0,N/A,N/A,0,N/A,N/A,750,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,0.0,0.0,0,0.0,0.0
29462,/coins/888/overview,/media/351639/888.png,1475534352,888,888,Octocoin,Octocoin (888),N/A,PoW,0,135776563,N/A,N/A,0,N/A,N/A,811,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,50786536.0,0.0,0,0.0,88.0
20824,/coins/1337/overview,/media/35520987/elite.png,1465838687,1337,1337,EliteCoin,EliteCoin (1337),X13,PoW/PoS,0,314159265359,N/A,N/A,0,N/A,N/A,577,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,29496161711.2092,2805961.0,0,119.525234699249,60.0
3744,/coins/2015/overview,/media/20180/2015.png,1425316878,2015,2015,2015 coin,2015 coin (2015),X11,PoW/PoS,0,0,N/A,N/A,0,N/A,N/A,33,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,,,,,
